carrera,institucion,acreditada_desde,acreditada_hasta,enlace,documento_acreditador,Acreditación institución
Diseño,UNIVERSIDAD DE TALCA,2014,2019,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N35%20Diseno%20U%20de%20Talca.pdf,Acuerdo,
Diseño Multimedia,UNIVERSIDAD DE TARAPACA,2015,2020,http://www.acreditaccion.cl/dictamenes/Dictamen_N492_Diseno_Multimedia_UTA.pdf,Acuerdo,
Diseño,UNIVERSIDAD DE VALPARAISO,2015,2020,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N42%20Diseno%20U%20de%20Valparaiso.pdf,Acuerdo,
Diseño,UNIVERSIDAD DE VIÑA DEL MAR,2015,2018,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N40%20Diseno%20Grafico%20U%20Vina%20del%20Mar.pdf,Acuerdo,
Diseño Gráfico,UNIVERSIDAD DEL BIO-BIO,2013,2016,http://www.acreditaccion.cl/dictamenes/dictamen_n221_diseno_grafico_ubb.pdf,Acuerdo,
Diseño Industrial,UNIVERSIDAD DEL BIO-BIO,2013,2019,http://www.acreditaccion.cl/dictamenes/Dictamen_N344_Diseno_Industrial_UBB.pdf,Acuerdo,
Diseño,UNIVERSIDAD DEL DESARROLLO,2012,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo,
Diseño,UNIVERSIDAD DEL DESARROLLO,2012,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2013/06/Reposici%C3%B3n-N%C2%BA39-Dise%C3%B1o-UDD.pdf,Acuerdo,
Diseño Vestuario y Textiles,UNIVERSIDAD DEL PACIFICO,2013,2018,http://www.acreditadoradechile.cl/wp-content/uploads/2014/01/Acuerdo-N%C2%BA220-Dise%C3%B1o-de-Vestuario-U-Pac%C3%ADfico.pdf,Acuerdo,
Diseño de Interiores,UNIVERSIDAD DEL PACIFICO,2014,2018,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Gráfico,UNIVERSIDAD DEL PACIFICO,2013,2018,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño,UNIVERSIDAD DIEGO PORTALES,2016,2022,http://www.aadsa.cl/convenios/Acuerdo%20de%20Acreditacion%20N13%20Diseno%20UDP.pdf,Acuerdo,
Diseño,UNIVERSIDAD FINIS TERRAE,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
"Diseño Crossmedia en Gráfica, Web y Video Digital",UNIVERSIDAD GABRIELA MISTRAL,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Mención Industrial/Gráfico/Ambienstes,UNIVERSIDAD MAYOR,-,-,https://www.cnachile.cl/noticias/Paginas/No-acreditadas.aspx,No Acreditada,
Diseño Industrial,UNIVERSIDAD TECNOLOGICA METROPOLITANA,2016,2022,http://www.acreditaccion.cl/dictamenes/Resolucion_de_Acreditacion_N584_Diseno_Industrial_UTEM.pdf,Acuerdo,
Diseño en Comunicación Visual,UNIVERSIDAD TECNOLOGICA METROPOLITANA,2016,2021,http://www.acreditadoradechile.cl/wp-content/uploads/2016/03/Acuerdo-N%C2%BA421.pdf,Acuerdo,
